src_key,dst_key,match_type
chen2024voicebench,gpt4,arxiv
chen2024voicebench,huang2024dynamic,arxiv
chen2024voicebench,whisper,arxiv
chen2024voicebench,xie2024mini,arxiv
chen2024voicebench,zhang2023speechgpt,arxiv
chou2023toward,GSLM,paperId
chou2023toward,bert,arxiv
chou2023toward,brown2020language,arxiv
chou2023toward,holtzman2020the,arxiv
chou2023toward,hubert,arxiv
chou2023toward,lee2022direct,arxiv
chou2023toward,lee2022textless,arxiv
chou2023toward,pGSLM,arxiv
chou2023toward,pasad2023comparative,arxiv
chou2023toward,polyak21_interspeech,arxiv
chou2023toward,shon2022slue,arxiv
chou2023toward,wang2023neural,arxiv
chou2023toward,wav2seq,arxiv
chou2023toward,wav2vec2,arxiv
chou2023toward,wavlm,arxiv
chou2023toward,zhang2022opt,arxiv
chu2023qwen,bai2023qwen,arxiv
chu2023qwen,blsp,arxiv
chu2023qwen,brown2020language,arxiv
chu2023qwen,encodec,arxiv
chu2023qwen,gong2023listen,arxiv
chu2023qwen,gong2023whisperat,arxiv
chu2023qwen,hubert,arxiv
chu2023qwen,le2024voicebox,arxiv
chu2023qwen,lora,arxiv
chu2023qwen,maiti2024voxtlm,arxiv
chu2023qwen,ouyang2022training,arxiv
chu2023qwen,q-former,arxiv
chu2023qwen,soundstream,arxiv
chu2023qwen,speechtokenizer,paperId
chu2023qwen,touvron2023llama,arxiv
chu2023qwen,usm,arxiv
chu2023qwen,wang2023slm,arxiv
chu2023qwen,wavlm,arxiv
chu2023qwen,whisper,arxiv
chu2023qwen,wu2023decoder,arxiv
chu2023qwen,zhang2023speechgpt,arxiv
chu2024qwen2audio,agostinelli2023musiclm,arxiv
chu2024qwen2audio,airbench,arxiv
chu2024qwen2audio,bai2023qwen,arxiv
chu2024qwen2audio,blsp,arxiv
chu2024qwen2audio,chu2023qwen,arxiv
chu2024qwen2audio,das2024speechverse,arxiv
chu2024qwen2audio,geminiteam2024gemini15unlockingmultimodal,arxiv
chu2024qwen2audio,rafailov2023direct,arxiv
chu2024qwen2audio,tang2023salmonn,arxiv
chu2024qwen2audio,wang2023slm,arxiv
chu2024qwen2audio,wavlm,arxiv
chu2024qwen2audio,whisper,arxiv
chu2024qwen2audio,wu2023decoder,arxiv
chu2024qwen2audio,zhang2023speechgpt,arxiv
copet2024simple,GSLM,paperId
copet2024simple,agostinelli2023musiclm,arxiv
copet2024simple,encodec,arxiv
copet2024simple,pGSLM,arxiv
