src_key,dst_key,match_type
Wu2024TS3CodecTS,vqvae2017,arxiv
Wu2024TS3CodecTS,wang2023neural,arxiv
Wu2024TS3CodecTS,wang2023speechx,arxiv
Wu2024TS3CodecTS,wu2023audiodec,arxiv
Wu2024TS3CodecTS,wu2024codec,arxiv
Wu2024TS3CodecTS,wu2024codecslt,arxiv
Wu2024TS3CodecTS,wu2024towards,arxiv
Wu2024TS3CodecTS,xin2024bigcodec,arxiv
Wu2024TS3CodecTS,zeghidour2021soundstream,arxiv
Ye2024CodecDM,1360861705599880960,arxiv
Ye2024CodecDM,7178964,paperId
Ye2024CodecDM,audiocaps,paperId
Ye2024CodecDM,baevski2020wav2vec,arxiv
Ye2024CodecDM,bastianelli2020slurp,arxiv
Ye2024CodecDM,borsos2023audiolm,arxiv
Ye2024CodecDM,esser2021taming,arxiv
Ye2024CodecDM,fma_dataset,arxiv
Ye2024CodecDM,fonseca2021fsd50k,arxiv
Ye2024CodecDM,gpt,arxiv
Ye2024CodecDM,hsu2021hubert,arxiv
Ye2024CodecDM,huang2023make,arxiv
Ye2024CodecDM,kong2020panns,arxiv
Ye2024CodecDM,kumar2023high,arxiv
Ye2024CodecDM,li2023mert,arxiv
Ye2024CodecDM,liu2023audioldm,paperId
Ye2024CodecDM,liu2024semanticodec,arxiv
Ye2024CodecDM,piczak2015esc,paperId
Ye2024CodecDM,vqvae2017,arxiv
Ye2024CodecDM,wang2023neural,arxiv
Ye2024CodecDM,wu2023large,arxiv
Ye2024CodecDM,wu2023speechgen,arxiv
Ye2024CodecDM,yang2023hifi,arxiv
Ye2024CodecDM,zeghidour2021soundstream,arxiv
Zhou2024WMCodecEN,defossez2022high,arxiv
Zhou2024WMCodecEN,ren2024ticodec,arxiv
Zhou2024WMCodecEN,yang2023hifi,arxiv
Zhou2024WMCodecEN,zeghidour2021soundstream,arxiv
Zhou2024WMCodecEN,zen2019libritts,paperId
abouelenin2025phi,ardila2019common,arxiv
abouelenin2025phi,geminiteam2023gemini,title_exact
abouelenin2025phi,grattafiori2024llama3herdmodels,arxiv
abouelenin2025phi,gulati_conformer,arxiv
abouelenin2025phi,qwen2025qwen25technicalreport,arxiv
abouelenin2025phi,radford2023robust,arxiv
abouelenin2025phi,transformer,arxiv
abouelenin2025phi,zeng2024glm,arxiv
agostinelli2023musiclm,audiocaps,paperId
agostinelli2023musiclm,borsos2023audiolm,arxiv
agostinelli2023musiclm,chung2021w2v,arxiv
agostinelli2023musiclm,devlin2019bert,arxiv
agostinelli2023musiclm,dhariwal2020jukebox,arxiv
agostinelli2023musiclm,esser2021taming,arxiv
agostinelli2023musiclm,fma_dataset,arxiv
agostinelli2023musiclm,gemmeke2017audio,paperId
agostinelli2023musiclm,gpt,arxiv
agostinelli2023musiclm,ho2020denoising,arxiv
agostinelli2023musiclm,kreuk2022audiogen,arxiv
agostinelli2023musiclm,oord2016wavenet,arxiv
agostinelli2023musiclm,raffel2020exploring,arxiv
agostinelli2023musiclm,rombach2022high,arxiv
agostinelli2023musiclm,transformer,arxiv
agostinelli2023musiclm,vqvae2017,arxiv
agostinelli2023musiclm,yang2023diffsound,arxiv
agostinelli2023musiclm,zeghidour2021soundstream,arxiv
ai2024apcodec,Kleijn2018wavenet,arxiv
ai2024apcodec,ardila2019common,arxiv
ai2024apcodec,borsos2023audiolm,arxiv
ai2024apcodec,defossez2022high,arxiv
ai2024apcodec,dietz2015overview,paperId
ai2024apcodec,fonseca2021fsd50k,arxiv
ai2024apcodec,garbacea2019low,arxiv
ai2024apcodec,huang2023repcodec,paperId
ai2024apcodec,kankanahalli2018end,arxiv
ai2024apcodec,kong2020hifigan,arxiv
ai2024apcodec,kumar2023high,arxiv
ai2024apcodec,o1988linear,paperId
ai2024apcodec,ren2024ticodec,arxiv
ai2024apcodec,valin2019real,arxiv
ai2024apcodec,vqvae2017,arxiv
ai2024apcodec,wang2022opencpop,arxiv
ai2024apcodec,wang2023neural,arxiv
ai2024apcodec,wu2023audiodec,arxiv
ai2024apcodec,yamagishi2019cstr,paperId
ai2024apcodec,yang2023hifi,arxiv
ai2024apcodec,zeghidour2021soundstream,arxiv
ai2024apcodec,zhang2023speechtokenizer,arxiv
arnault2020urban,gemmeke2017audio,paperId
arnault2020urban,kong2020panns,arxiv
arnault2020urban,piczak2015esc,paperId
arnault2020urban,transformer,arxiv
arora2025landscape,Wu2024TS3CodecTS,arxiv
arora2025landscape,abouelenin2025phi,arxiv
arora2025landscape,agostinelli2023musiclm,arxiv
arora2025landscape,baevski2020wav2vec,arxiv
arora2025landscape,borsos2023audiolm,arxiv
arora2025landscape,borsos2023soundstorm,arxiv
arora2025landscape,chang2024speechprompt,arxiv
arora2025landscape,chen-etal-2024-towards-robust,arxiv
arora2025landscape,chen2022wavlm,arxiv
arora2025landscape,copet2024musicgen,arxiv
arora2025landscape,cuervo2024scalingpropertiesspeechlanguag,arxiv
arora2025landscape,cui2024recent,arxiv
arora2025landscape,defossez2022high,arxiv
arora2025landscape,defossez2024moshi,arxiv
arora2025landscape,devlin2019bert,arxiv
arora2025landscape,du2024cosyvoiceAS,arxiv
arora2025landscape,dunbar2021zero,arxiv
arora2025landscape,gpt,arxiv
arora2025landscape,grattafiori2024llama3herdmodels,arxiv
arora2025landscape,gu2021efficiently,arxiv
arora2025landscape,guo2025recent,arxiv
arora2025landscape,har2025past,arxiv
arora2025landscape,hassid2023textually,arxiv
arora2025landscape,hsu2021hubert,arxiv
arora2025landscape,huang2023dynamic,arxiv
arora2025landscape,huang2024dynamic,arxiv
arora2025landscape,ji2024wavchat,arxiv
arora2025landscape,kharitonov2022textfreeprosodyawaregenerativespoken,arxiv
arora2025landscape,kharitonov2023speak,arxiv
arora2025landscape,kong2020hifigan,arxiv
arora2025landscape,lakhotia2021generative,paperId
arora2025landscape,latif2023sparks,arxiv
arora2025landscape,lin2024alignslm,arxiv
arora2025landscape,liu2023pre,arxiv
arora2025landscape,maimon2023speaking,arxiv
arora2025landscape,maimon2024suite,arxiv
arora2025landscape,maimon2025slamming,arxiv
arora2025landscape,messica2024nast,arxiv
arora2025landscape,mostafazadeh2016corpus,paperId
arora2025landscape,mousavi2024,paperId
arora2025landscape,mousavi2024dasb,arxiv
arora2025landscape,nguyen2023generative,arxiv
arora2025landscape,nguyen2024spiritlminterleavedspokenwritten,paperId
arora2025landscape,park2024long,arxiv
arora2025landscape,pasad2023comparative,arxiv
arora2025landscape,peng2024survey,arxiv
arora2025landscape,polyak2021speech,arxiv
arora2025landscape,qwen_audio,arxiv
arora2025landscape,radford2023robust,arxiv
arora2025landscape,salmonn,arxiv
arora2025landscape,shi2024espnet,arxiv
arora2025landscape,sicherman2023analysing,arxiv
arora2025landscape,siuzdak2024snac,arxiv
arora2025landscape,tacotron2,arxiv
arora2025landscape,tian2025espnet,paperId
arora2025landscape,touvron2023llama,arxiv
arora2025landscape,turetzky2024last,arxiv
arora2025landscape,vqvae2017,arxiv
arora2025landscape,wang2023neural,arxiv
arora2025landscape,wu2024codec,arxiv
arora2025landscape,wu2024codecfake,arxiv
arora2025landscape,wu2024codecslt,arxiv
arora2025landscape,wu2024towards,arxiv
arora2025landscape,xin2024bigcodec,arxiv
arora2025landscape,yang2023uniaudio,paperId
arora2025landscape,yosha2025stresstest,arxiv
arora2025landscape,zeghidour2021soundstream,arxiv
arora2025landscape,zeng2024glm,arxiv
arora2025landscape,zengscaling,arxiv
arora2025landscape,zhan2024anygpt,arxiv
arora2025landscape,zhang2023googleusm,arxiv
arora2025landscape,zhang2023speechgpt,arxiv
audiocaps,7178964,paperId
audiocaps,gemmeke2017audio,paperId
audiocaps,hershey2016deep,arxiv
audiocaps,ljspeech17,title_exact
audiocaps,nagrani2017voxceleb,arxiv
audiocaps,piczak2015esc,paperId
audiocaps,srivastava2014dropout,paperId
audiocaps,warden2017speech,arxiv
baevski2020wav2vec,7178964,paperId
baevski2020wav2vec,Jang2016Gumbel,arxiv
baevski2020wav2vec,devlin2019bert,arxiv
baevski2020wav2vec,gulati_conformer,arxiv
baevski2020wav2vec,han2020contextnet,arxiv
baevski2020wav2vec,transformer,arxiv
baevski2020wav2vec,vqvae2017,arxiv
bai2024dmel,7178964,paperId
bai2024dmel,baevski2020wav2vec,arxiv
bai2024dmel,bogdanov2019mtg,paperId
bai2024dmel,borsos2023audiolm,arxiv
bai2024dmel,defossez2022high,arxiv
bai2024dmel,defossez2024moshi,arxiv
bai2024dmel,espnet,arxiv
